iter	Passed	Remaining
0	153	153803
1	154	77274
2	155	51790
3	156	39017
4	157	31332
5	158	26224
6	159	22562
7	159	19817
8	160	17678
9	161	15968
10	162	14570
11	162	13414
12	164	12477
13	165	11654
14	166	10936
15	167	10309
16	168	9743
17	169	9239
18	170	8785
19	170	8377
20	171	8008
21	172	7674
22	173	7364
23	174	7080
24	174	6823
25	175	6587
26	176	6366
27	183	6362
28	184	6162
29	184	5979
30	185	5808
31	186	5640
32	187	5484
33	187	5340
34	188	5201
35	189	5071
36	190	4948
37	190	4829
38	191	4717
39	192	4619
40	193	4523
41	194	4427
42	195	4345
43	196	4261
44	197	4181
45	197	4101
46	198	4024
47	199	3953
48	200	3885
49	201	3819
50	201	3755
51	202	3693
52	203	3632
53	203	3572
54	204	3516
55	205	3460
56	206	3409
57	207	3366
58	208	3322
59	209	3277
60	210	3232
61	210	3188
62	211	3146
63	212	3104
64	213	3064
65	213	3024
66	214	2986
67	215	2948
68	215	2911
69	216	2874
70	216	2838
71	217	2804
72	218	2770
73	218	2737
74	219	2706
75	220	2675
76	221	2653
77	222	2631
78	223	2605
79	224	2579
80	225	2553
81	225	2528
82	226	2499
83	226	2475
84	227	2450
85	228	2427
86	229	2404
87	229	2381
88	230	2359
89	231	2337
90	231	2316
91	232	2294
92	233	2273
93	233	2252
94	234	2233
95	235	2221
96	237	2209
97	238	2191
98	238	2173
99	239	2156
100	240	2140
101	241	2123
102	241	2107
103	242	2089
104	243	2072
105	243	2056
106	244	2040
107	245	2024
108	245	2008
109	246	1992
110	246	1977
111	247	1962
112	248	1947
113	248	1933
114	249	1920
115	251	1913
116	251	1901
117	252	1889
118	253	1877
119	254	1865
120	255	1853
121	255	1840
122	256	1828
123	257	1817
124	257	1805
125	258	1793
126	259	1781
127	259	1769
128	260	1758
129	261	1747
130	261	1735
131	262	1724
132	262	1713
133	263	1703
134	264	1693
135	265	1686
136	266	1677
137	266	1667
138	267	1657
139	268	1647
140	269	1638
141	269	1628
142	270	1619
143	270	1610
144	271	1600
145	272	1591
146	272	1582
147	273	1573
148	273	1564
149	274	1555
150	275	1547
151	275	1538
152	276	1530
153	276	1521
154	277	1513
155	278	1506
156	279	1499
157	280	1493
158	280	1486
159	281	1478
160	282	1470
161	282	1462
162	283	1455
163	284	1448
164	284	1441
165	285	1434
166	286	1426
167	286	1419
168	287	1412
169	287	1405
170	288	1399
171	289	1392
172	289	1385
173	290	1379
174	291	1372
175	291	1366
176	292	1359
177	293	1353
178	294	1349
179	295	1344
180	295	1339
181	296	1333
182	297	1327
183	297	1321
184	298	1316
185	299	1309
186	299	1304
187	300	1298
188	301	1292
189	301	1286
190	302	1280
191	302	1274
192	303	1269
193	304	1263
194	304	1258
195	305	1252
196	306	1247
197	306	1241
198	307	1236
199	308	1232
200	308	1227
201	309	1222
202	310	1217
203	310	1212
204	311	1208
205	312	1203
206	312	1198
207	313	1193
208	314	1188
209	314	1183
210	315	1178
211	315	1174
212	316	1169
213	317	1164
214	317	1159
215	318	1155
216	318	1150
217	319	1146
218	320	1142
219	320	1137
220	321	1133
221	322	1129
222	323	1127
223	324	1123
224	325	1119
225	325	1115
226	326	1111
227	327	1107
228	327	1103
229	328	1099
230	329	1095
231	329	1091
232	330	1087
233	331	1084
234	331	1080
235	332	1076
236	333	1072
237	333	1068
238	334	1064
239	334	1060
240	335	1056
241	336	1052
242	336	1048
243	337	1045
244	338	1042
245	338	1038
246	339	1034
247	340	1031
248	340	1027
249	341	1023
250	341	1019
251	342	1016
252	342	1012
253	343	1008
254	344	1005
255	344	1001
256	345	998
257	345	994
258	346	991
259	347	988
260	347	984
261	348	981
262	349	978
263	349	975
264	350	971
265	350	968
266	351	965
267	352	962
268	353	959
269	353	956
270	354	953
271	355	950
272	355	947
273	356	944
274	357	941
275	357	938
276	358	935
277	359	932
278	359	929
279	360	926
280	360	923
281	361	920
282	362	917
283	362	914
284	363	911
285	363	908
286	364	905
287	365	902
288	365	899
289	366	897
290	367	894
291	368	892
292	368	890
293	369	887
294	370	884
295	370	881
296	371	878
297	371	876
298	372	873
299	373	870
300	373	867
301	374	865
302	375	862
303	375	860
304	376	857
305	377	855
306	377	852
307	378	850
308	379	847
309	379	845
310	380	842
311	380	839
312	381	837
313	382	836
314	383	833
315	384	831
316	384	829
317	385	826
318	386	824
319	386	822
320	387	819
321	388	817
322	388	814
323	389	812
324	390	810
325	390	807
326	391	805
327	391	802
328	392	800
329	392	797
330	393	795
331	394	793
332	394	790
333	395	788
334	396	786
335	397	784
336	397	782
337	398	780
338	399	778
339	399	776
340	400	773
341	401	771
342	401	769
343	402	767
344	403	765
345	403	763
346	404	761
347	405	758
348	405	756
349	406	754
350	406	752
351	407	749
352	408	747
353	408	745
354	409	743
355	409	741
356	410	739
357	411	738
358	412	736
359	413	734
360	413	732
361	414	730
362	415	728
363	416	727
364	416	725
365	417	723
366	418	721
367	419	719
368	419	718
369	420	716
370	421	714
371	422	712
372	422	710
373	423	708
374	423	706
375	424	704
376	425	702
377	425	700
378	426	699
379	427	697
380	428	695
381	428	693
382	429	691
383	430	690
384	431	688
385	431	686
386	432	685
387	433	683
388	434	681
389	434	680
390	435	678
391	436	676
392	436	674
393	437	672
394	438	670
395	438	669
396	439	667
397	440	666
398	441	665
399	442	663
400	442	661
401	443	659
402	444	658
403	444	656
404	445	654
405	446	652
406	446	650
407	447	649
408	447	647
409	448	645
410	449	643
411	449	641
412	450	640
413	450	638
414	451	636
415	452	634
416	452	633
417	453	631
418	453	629
419	454	627
420	455	626
421	456	625
422	457	623
423	458	622
424	458	620
425	459	619
426	460	617
